deity_name,common_name,lunar_month,lunar_day,occasion_type,honorific_source,honorific_note,source_1,source_2,source_3,is_consensus,note
清水祖師,祖師公,5,6,成道,成道,維基百科用「得道日」,https://www.buddhamind.com.tw/archives/1773,https://zh.wikipedia.org/zh-tw/清水祖師,https://tcmazu.org/pilgrimage-temples/,true,"第二輪新驗證成功(原僅1源);佛祖心雜誌社原文「農曆五月初六清水祖師成道紀念」;三峽長福巖官網兩輪皆連線失敗,非刻意排除"
廣澤尊王,,2,22,聖誕,聖誕,"setn用「誕辰」,台南西羅殿(主祀廟)官網僅敘述誕生故事未用明確敬稱詞",https://xiluo.org.tw/?act=menuinfo&ml_id=20230719001,https://baodao.setn.com/news/823110,https://www.nownews.com/news/5626699,true,"重大分歧:setn、nownews兩篇獨立報導皆指出民間另有一說認為二月廿二與八月廿二的誕辰/成道意義互換,此為信仰本身既存的分歧,非查證誤差"
廣澤尊王,,8,22,成道,千秋,setn、nownews將此日描述為「成道」而非使用敬稱詞,https://tcmazu.org/pilgrimage-temples/,https://baodao.setn.com/news/823110,https://www.nownews.com/news/5626699,true,"同上分歧說明,另有一說八月廿二才是誕辰、二月廿二為成道,兩說並存"
福德正神,土地公,2,2,聖誕,聖誕,維基百科引《臺灣縣志》古語用「慶壽」;農民曆線上看無明確引用敬稱詞,https://www.hunglodei.tw/mobile/god_1.php,https://nml.tw/festival/%E7%A6%8F%E5%BE%B7%E6%AD%A3%E7%A5%9E%E5%8D%83%E7%A7%8B,https://zh.wikipedia.org/zh-tw/福德正神,true,"依使用者裁示以本行(依來源慣用語保留聖誕)為統一基準;另有農曆八月十五得道升天日之說,僅2源提及,未單獨成行"
虎爺,,6,6,聖誕,聖誕,新北市石碇區公所僅記載「祭典日期」未用敬稱詞,https://www.shiding.ntpc.gov.tw/home.jsp?id=bcec741659a3253e,https://www.hsinkangmazu.org.tw/?act=menuinfo&ml_id=20231222001&cmd=detail&mi_id=20231229010,https://religion.moi.gov.tw/Knowledge/Content?ci=2&cid=288,true,
中壇元帥,三太子,9,9,聖誕,聖誕千秋,"維基百科用口語「生日」,農民曆線上看用「聖誕」",https://www.taizih.org.tw/?act=menuinfo&ml_id=20240807011,https://zh.wikipedia.org/zh-tw/中壇元帥,https://nml.tw/festival/%E4%B8%AD%E5%A3%87%E5%85%83%E5%B8%A5%E8%81%96%E8%AA%95,true,"主祀廟新營太子宮(全國中壇元帥總廟)原文合稱「聖誕千秋」;另維基百科提及五月十八成道日,僅單一來源,未單獨成行"
關聖帝君,關公,6,24,聖誕,聖誕,"行天宮用「聖壽」,維基百科用「聖誕」",https://www.ht.org.tw/religion1594.htm,https://zh.wikipedia.org/zh-tw/關羽信仰,https://tmach-culture.tainan.gov.tw/templemuseums/templepage.asp?mainid=109A4FC6-C4F9-4C0F-8C64-8AEA5DDFA167,true,"honorific_source 依台南祀典武廟(官方最高位階關廟)用語「聖誕」記錄,不再套用敬稱規則;另有少數廟宇以五月十三(磨刀節)為聖誕,非主流,不與六月廿四混用"
關聖帝君,關公,1,13,飛昇,飛昇,"維基百科用「成道日」,中華日報用「得道飛昇日」",https://zh.wikipedia.org/zh-tw/關羽信仰,https://www.kwwt.org.tw/?act=menuinfo&ml_id=20210108007&cmd=list,https://www.cdns.com.tw/articles/1166159,true,"正月十三為飛昇,與六月廿四聖誕不同,不可混用;高雄鳳山赤山文衡殿特例將此日當作「聖誕」而非「飛昇」慶祝,本表依多數廟宇/維基共識分列"
玄天上帝,上帝公,3,3,聖誕,聖誕,NOWnews用「萬壽日」,https://www.ctwant.com/article/176184/,https://www.fude.studio/blog/xuantian-shangdi,https://www.nownews.com/news/5626775,true,
財神,武財神/趙公明,3,15,千秋,聖誕千秋,維基百科、聯合新聞網皆用「誕辰」,https://www.gtg.org.tw/birthday,https://zh.wikipedia.org/zh-tw/玄壇真君,https://udn.com/news/story/7268/8654651,true,"主祀廟台中廣天宮原文合稱「聖誕千秋」;與五路財神/正月初五(見 unverified.csv)為查證後確認性質不同的兩件事,不宜混用"
九天玄女,,8,18,聖誕,聖誕千秋,"蕃新聞報導(引華山無極玄明宮輔玄觀)用「生日」,維基百科用「聖誕」",https://www.ld4m.org.tw/九天玄女✨聖誕千秋祝壽大典-2/,https://n.yam.com/Article/20240918799828,https://zh.wikipedia.org/zh-tw/九天玄女,true,第二輪新驗證成功(原僅1源);主祀廟桃園龍德宮原文合稱「聖誕千秋」
註生娘娘,,3,20,聖誕,聖誕,高雄路竹天后宮用「誕辰祭典」,https://jhulian.org.tw/?act=menuinfo&cmd=detail&mi_id=20220413001&ml_id=20211115002,https://www.ftg.org.tw/autopage_detail/3/72,https://luzhumazu.org.tw/?act=menuinfo&ml_id=20230902006&cmd=detail&mi_id=20230903002,true,"第二輪新驗證成功(原0個可實際開啟確認的來源);三間廟(新竹竹蓮寺、台北松山奉天宮、高雄路竹天后宮)皆以配祀神身分記載此日期,非單獨主祀廟,但依使用者規則「廟方自己公告的祭典日期」原意仍採用"
