Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
例假日,2027/6/5,,2027/6/5,,TRUE,,
,,,,,,,
例假日,2027/6/6,,2027/6/6,,TRUE,,
,,,,,,,
端午節,2027/6/9,,2027/6/9,,TRUE,,
,,,,,,,
例假日,2027/6/12,,2027/6/12,,TRUE,,
,,,,,,,
例假日,2027/6/13,,2027/6/13,,TRUE,,
,,,,,,,
例假日,2027/6/19,,2027/6/19,,TRUE,,
,,,,,,,
例假日,2027/6/20,,2027/6/20,,TRUE,,
,,,,,,,
例假日,2027/6/26,,2027/6/26,,TRUE,,
,,,,,,,
例假日,2027/6/27,,2027/6/27,,TRUE,,
,,,,,,,
例假日,2027/7/3,,2027/7/3,,TRUE,,
,,,,,,,
例假日,2027/7/4,,2027/7/4,,TRUE,,
,,,,,,,
例假日,2027/7/10,,2027/7/10,,TRUE,,
,,,,,,,
例假日,2027/7/11,,2027/7/11,,TRUE,,
,,,,,,,
例假日,2027/7/17,,2027/7/17,,TRUE,,
,,,,,,,
例假日,2027/7/18,,2027/7/18,,TRUE,,
,,,,,,,
例假日,2027/7/24,,2027/7/24,,TRUE,,
,,,,,,,
例假日,2027/7/25,,2027/7/25,,TRUE,,
,,,,,,,
例假日,2027/7/31,,2027/7/31,,TRUE,,
,,,,,,,
例假日,2027/8/1,,2027/8/1,,TRUE,,
,,,,,,,
例假日,2027/8/7,,2027/8/7,,TRUE,,
,,,,,,,
例假日,2027/8/8,,2027/8/8,,TRUE,,
,,,,,,,
例假日,2027/8/14,,2027/8/14,,TRUE,,
,,,,,,,
例假日,2027/8/15,,2027/8/15,,TRUE,,
,,,,,,,
例假日,2027/8/21,,2027/8/21,,TRUE,,
,,,,,,,
例假日,2027/8/22,,2027/8/22,,TRUE,,
,,,,,,,
例假日,2027/8/28,,2027/8/28,,TRUE,,
,,,,,,,
例假日,2027/8/29,,2027/8/29,,TRUE,,
,,,,,,,
例假日,2027/9/4,,2027/9/4,,TRUE,,
,,,,,,,
例假日,2027/9/5,,2027/9/5,,TRUE,,
,,,,,,,
例假日,2027/9/11,,2027/9/11,,TRUE,,
,,,,,,,
例假日,2027/9/12,,2027/9/12,,TRUE,,
,,,,,,,
中秋節,2027/9/15,,2027/9/15,,TRUE,,
,,,,,,,
例假日,2027/9/18,,2027/9/18,,TRUE,,
,,,,,,,
例假日,2027/9/19,,2027/9/19,,TRUE,,
,,,,,,,
例假日,2027/9/25,,2027/9/25,,TRUE,,
,,,,,,,
例假日,2027/9/26,,2027/9/26,,TRUE,,
,,,,,,,
教師節,2027/9/28,,2027/9/28,,TRUE,,
,,,,,,,
例假日,2027/10/2,,2027/10/2,,TRUE,,
,,,,,,,
例假日,2027/10/3,,2027/10/3,,TRUE,,
,,,,,,,
例假日,2027/10/9,,2027/10/9,,TRUE,,
,,,,,,,
國慶日,2027/10/10,,2027/10/10,,TRUE,,
,,,,,,,
補假,2027/10/11,,2027/10/11,,TRUE,,
,,,,,,,
例假日,2027/10/16,,2027/10/16,,TRUE,,
,,,,,,,
例假日,2027/10/17,,2027/10/17,,TRUE,,
,,,,,,,
例假日,2027/10/23,,2027/10/23,,TRUE,,
,,,,,,,
例假日,2027/10/24,,2027/10/24,,TRUE,,
,,,,,,,
臺灣光復暨金門古寧頭大捷紀念日,2027/10/25,,2027/10/25,,TRUE,,
,,,,,,,
例假日,2027/10/30,,2027/10/30,,TRUE,,
,,,,,,,
例假日,2027/10/31,,2027/10/31,,TRUE,,
,,,,,,,
例假日,2027/11/6,,2027/11/6,,TRUE,,
,,,,,,,
例假日,2027/11/7,,2027/11/7,,TRUE,,
,,,,,,,
例假日,2027/11/13,,2027/11/13,,TRUE,,
,,,,,,,
例假日,2027/11/14,,2027/11/14,,TRUE,,
,,,,,,,
例假日,2027/11/20,,2027/11/20,,TRUE,,
,,,,,,,
例假日,2027/11/21,,2027/11/21,,TRUE,,
,,,,,,,
例假日,2027/11/27,,2027/11/27,,TRUE,,
,,,,,,,
例假日,2027/11/28,,2027/11/28,,TRUE,,
,,,,,,,
例假日,2027/12/4,,2027/12/4,,TRUE,,
,,,,,,,
例假日,2027/12/5,,2027/12/5,,TRUE,,
,,,,,,,
例假日,2027/12/11,,2027/12/11,,TRUE,,
,,,,,,,
例假日,2027/12/12,,2027/12/12,,TRUE,,
,,,,,,,
例假日,2027/12/18,,2027/12/18,,TRUE,,
,,,,,,,
例假日,2027/12/19,,2027/12/19,,TRUE,,
,,,,,,,
補假,2027/12/24,,2027/12/24,,TRUE,,
,,,,,,,
行憲紀念日,2027/12/25,,2027/12/25,,TRUE,,
,,,,,,,
例假日,2027/12/26,,2027/12/26,,TRUE,,
,,,,,,,
補假,2027/12/31,,2027/12/31,,TRUE,,
