solar_year,solar_date,weekday,deity_name,common_name,lunar_month,lunar_day,lunar_label,occasion_type,honorific_source,date_adjusted,adjust_note
2023,2023-11-27,星期一,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2024,2024-11-15,星期五,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2025,2025-12-04,星期四,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2026,2026-11-23,星期一,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2027,2027-11-12,星期五,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2028,2028-11-30,星期四,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2029,2029-11-20,星期二,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2030,2030-11-10,星期日,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2031,2031-11-29,星期六,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2032,2032-11-17,星期三,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2033,2033-11-06,星期日,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2034,2034-11-25,星期六,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2035,2035-11-14,星期三,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2036,2036-12-02,星期二,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2037,2037-11-21,星期六,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2038,2038-11-11,星期四,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2039,2039-11-30,星期三,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2040,2040-11-19,星期一,下元水官大帝,,10,15,十月十五,聖誕,聖誕,false,
2020,2020-10-25,星期日,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2021,2021-10-14,星期四,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2022,2022-10-04,星期二,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2023,2023-10-23,星期一,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2024,2024-10-11,星期五,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2025,2025-10-29,星期三,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2026,2026-10-18,星期日,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2027,2027-10-08,星期五,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2028,2028-10-26,星期四,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2029,2029-10-16,星期二,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2030,2030-10-05,星期六,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2031,2031-10-24,星期五,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2032,2032-10-12,星期二,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2033,2033-10-01,星期六,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2034,2034-10-20,星期五,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2035,2035-10-09,星期二,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2036,2036-10-27,星期一,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2037,2037-10-17,星期六,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2038,2038-10-07,星期四,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2039,2039-10-26,星期三,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2040,2040-10-14,星期日,中壇元帥,三太子,9,9,九月初九,聖誕,聖誕千秋,false,
2020,2020-10-04,星期日,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2021,2021-09-24,星期五,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2022,2022-09-13,星期二,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2023,2023-10-02,星期一,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2024,2024-09-20,星期五,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2025,2025-10-09,星期四,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2026,2026-09-28,星期一,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2027,2027-09-18,星期六,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2028,2028-10-06,星期五,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2029,2029-09-25,星期二,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2030,2030-09-15,星期日,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2031,2031-10-04,星期六,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2032,2032-09-22,星期三,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2033,2033-09-11,星期日,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2034,2034-09-30,星期六,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2035,2035-09-19,星期三,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2036,2036-10-07,星期二,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2037,2037-09-27,星期日,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2038,2038-09-16,星期四,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2039,2039-10-05,星期三,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2040,2040-09-23,星期日,九天玄女,,8,18,八月十八,聖誕,聖誕千秋,false,
2020,2020-04-07,星期二,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2021,2021-04-26,星期一,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2022,2022-04-15,星期五,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2023,2023-05-04,星期四,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2024,2024-04-23,星期二,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2025,2025-04-12,星期六,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2026,2026-05-01,星期五,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2027,2027-04-21,星期三,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2028,2028-04-09,星期日,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2029,2029-04-28,星期六,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2030,2030-04-17,星期三,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2031,2031-04-06,星期日,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2032,2032-04-24,星期六,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2033,2033-04-14,星期四,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2034,2034-05-03,星期三,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2035,2035-04-22,星期日,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2036,2036-04-11,星期五,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2037,2037-04-30,星期四,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2038,2038-04-19,星期一,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2039,2039-04-08,星期五,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2040,2040-04-25,星期三,保生大帝,大道公,3,15,三月十五,千秋,神誕,false,
2020,2020-09-16,星期三,地藏王菩薩,,7,30,七月廿九,佛辰,聖誕,true,"2020 年農曆7月僅 29 日,以7月廿九為準"
2021,2021-09-06,星期一,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2022,2022-08-26,星期五,地藏王菩薩,,7,30,七月廿九,佛辰,聖誕,true,"2022 年農曆7月僅 29 日,以7月廿九為準"
2023,2023-09-14,星期四,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2024,2024-09-02,星期一,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2025,2025-09-21,星期日,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2026,2026-09-10,星期四,地藏王菩薩,,7,30,七月廿九,佛辰,聖誕,true,"2026 年農曆7月僅 29 日,以7月廿九為準"
2027,2027-08-31,星期二,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2028,2028-09-18,星期一,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2029,2029-09-07,星期五,地藏王菩薩,,7,30,七月廿九,佛辰,聖誕,true,"2029 年農曆7月僅 29 日,以7月廿九為準"
2030,2030-08-28,星期三,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2031,2031-09-16,星期二,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2032,2032-09-04,星期六,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2033,2033-08-24,星期三,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2034,2034-09-12,星期二,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2035,2035-09-01,星期六,地藏王菩薩,,7,30,七月廿九,佛辰,聖誕,true,"2035 年農曆7月僅 29 日,以7月廿九為準"
2036,2036-09-19,星期五,地藏王菩薩,,7,30,七月廿九,佛辰,聖誕,true,"2036 年農曆7月僅 29 日,以7月廿九為準"
2037,2037-09-09,星期三,地藏王菩薩,,7,30,七月三十,佛辰,聖誕,false,
2038,2038-08-29,星期日,地藏王菩薩,,7,30,七月廿九,佛辰,聖誕,true,"2038 年農曆7月僅 29 日,以7月廿九為準"
2039,2039-09-17,星期六,地藏王菩薩,,7,30,七月廿九,佛辰,聖誕,true,"2039 年農曆7月僅 29 日,以7月廿九為準"
2040,2040-09-05,星期三,地藏王菩薩,,7,30,七月廿九,佛辰,聖誕,true,"2040 年農曆7月僅 29 日,以7月廿九為準"
2020,2020-04-15,星期三,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2021,2021-05-04,星期二,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2022,2022-04-23,星期六,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2023,2023-05-12,星期五,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2024,2024-05-01,星期三,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2025,2025-04-20,星期日,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2026,2026-05-09,星期六,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2027,2027-04-29,星期四,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2028,2028-04-17,星期一,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2029,2029-05-06,星期日,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2030,2030-04-25,星期四,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2031,2031-04-14,星期一,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2032,2032-05-02,星期日,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2033,2033-04-22,星期五,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2034,2034-05-11,星期四,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2035,2035-04-30,星期一,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2036,2036-04-19,星期六,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2037,2037-05-08,星期五,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2038,2038-04-27,星期二,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2039,2039-04-16,星期六,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2040,2040-05-03,星期四,天上聖母,媽祖,3,23,三月廿三,聖誕,聖誕,false,
2020,2020-03-08,星期日,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2021,2021-03-27,星期六,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2022,2022-03-17,星期四,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2023,2023-03-06,星期一,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2024,2024-03-24,星期日,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2025,2025-03-14,星期五,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2026,2026-04-02,星期四,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2027,2027-03-22,星期一,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2028,2028-03-10,星期五,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2029,2029-03-29,星期四,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2030,2030-03-18,星期一,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2031,2031-03-07,星期五,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2032,2032-03-26,星期五,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2033,2033-03-15,星期二,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2034,2034-04-03,星期一,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2035,2035-03-24,星期六,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2036,2036-03-12,星期三,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2037,2037-03-31,星期二,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2038,2038-03-20,星期六,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2039,2039-03-09,星期三,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2040,2040-03-27,星期二,太上老君,老子,2,15,二月十五,萬壽,聖誕,false,
2020,2020-03-15,星期日,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2021,2021-04-03,星期六,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2022,2022-03-24,星期四,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2023,2023-03-13,星期一,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2024,2024-03-31,星期日,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2025,2025-03-21,星期五,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2026,2026-04-09,星期四,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2027,2027-03-29,星期一,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2028,2028-03-17,星期五,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2029,2029-04-05,星期四,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2030,2030-03-25,星期一,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2031,2031-03-14,星期五,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2032,2032-04-02,星期五,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2033,2033-03-22,星期二,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2034,2034-04-10,星期一,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2035,2035-03-31,星期六,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2036,2036-03-19,星期三,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2037,2037-04-07,星期二,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2038,2038-03-27,星期六,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2039,2039-03-16,星期三,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2040,2040-04-03,星期二,廣澤尊王,,2,22,二月廿二,聖誕,聖誕,false,
2020,2020-10-08,星期四,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2021,2021-09-28,星期二,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2022,2022-09-17,星期六,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2023,2023-10-06,星期五,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2024,2024-09-24,星期二,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2025,2025-10-13,星期一,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2026,2026-10-02,星期五,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2027,2027-09-22,星期三,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2028,2028-10-10,星期二,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2029,2029-09-29,星期六,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2030,2030-09-19,星期四,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2031,2031-10-08,星期三,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2032,2032-09-26,星期日,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2033,2033-09-15,星期四,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2034,2034-10-04,星期三,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2035,2035-09-23,星期日,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2036,2036-10-11,星期六,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2037,2037-10-01,星期四,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2038,2038-09-20,星期一,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2039,2039-10-09,星期日,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2040,2040-09-27,星期四,廣澤尊王,,8,22,八月廿二,成道,千秋,false,
2020,2020-02-25,星期二,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2021,2021-03-15,星期一,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2022,2022-03-05,星期六,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2023,2023-02-22,星期三,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2024,2024-03-12,星期二,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2025,2025-03-02,星期日,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2026,2026-03-21,星期六,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2027,2027-03-10,星期三,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2028,2028-02-27,星期日,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2029,2029-03-17,星期六,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2030,2030-03-06,星期三,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2031,2031-02-23,星期日,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2032,2032-03-14,星期日,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2033,2033-03-03,星期四,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2034,2034-03-22,星期三,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2035,2035-03-12,星期一,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2036,2036-02-29,星期五,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2037,2037-03-19,星期四,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2038,2038-03-08,星期一,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2039,2039-02-25,星期五,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2040,2040-03-15,星期四,文昌帝君,,2,3,二月初三,千秋,千秋,false,
2020,2020-10-01,星期四,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2021,2021-09-21,星期二,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2022,2022-09-10,星期六,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2023,2023-09-29,星期五,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2024,2024-09-17,星期二,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2025,2025-10-06,星期一,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2026,2026-09-25,星期五,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2027,2027-09-15,星期三,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2028,2028-10-03,星期二,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2029,2029-09-22,星期六,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2030,2030-09-12,星期四,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2031,2031-10-01,星期三,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2032,2032-09-19,星期日,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2033,2033-09-08,星期四,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2034,2034-09-27,星期三,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2035,2035-09-16,星期日,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2036,2036-10-04,星期六,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2037,2037-09-24,星期四,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2038,2038-09-13,星期一,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2039,2039-10-02,星期日,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2040,2040-09-20,星期四,月下老人,月老,8,15,八月十五,千秋,千秋,false,
2020,2020-01-30,星期四,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2021,2021-02-17,星期三,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2022,2022-02-06,星期日,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2023,2023-01-27,星期五,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2024,2024-02-15,星期四,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2025,2025-02-03,星期一,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2026,2026-02-22,星期日,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2027,2027-02-11,星期四,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2028,2028-01-31,星期一,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2029,2029-02-18,星期日,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2030,2030-02-08,星期五,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2031,2031-01-28,星期二,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2032,2032-02-16,星期一,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2033,2033-02-05,星期六,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2034,2034-02-24,星期五,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2035,2035-02-13,星期二,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2036,2036-02-02,星期六,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2037,2037-02-20,星期五,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2038,2038-02-09,星期二,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2039,2039-01-29,星期六,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2040,2040-02-17,星期五,清水祖師,祖師公,1,6,一月初六,千秋,聖誕,false,
2020,2020-06-26,星期五,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2021,2021-06-15,星期二,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2022,2022-06-04,星期六,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2023,2023-06-23,星期五,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2024,2024-06-11,星期二,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2025,2025-06-01,星期日,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2026,2026-06-20,星期六,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2027,2027-06-10,星期四,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2028,2028-05-29,星期一,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2029,2029-06-17,星期日,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2030,2030-06-06,星期四,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2031,2031-06-25,星期三,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2032,2032-06-13,星期日,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2033,2033-06-02,星期四,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2034,2034-06-21,星期三,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2035,2035-06-11,星期一,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2036,2036-05-31,星期六,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2037,2037-06-19,星期五,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2038,2038-06-08,星期二,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2039,2039-05-28,星期六,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2040,2040-06-15,星期五,清水祖師,祖師公,5,6,五月初六,成道,成道,false,
2020,2020-02-24,星期一,濟公,,2,2,二月初二,佛辰,聖誕,false,
2021,2021-03-14,星期日,濟公,,2,2,二月初二,佛辰,聖誕,false,
2022,2022-03-04,星期五,濟公,,2,2,二月初二,佛辰,聖誕,false,
2023,2023-02-21,星期二,濟公,,2,2,二月初二,佛辰,聖誕,false,
2024,2024-03-11,星期一,濟公,,2,2,二月初二,佛辰,聖誕,false,
2025,2025-03-01,星期六,濟公,,2,2,二月初二,佛辰,聖誕,false,
2026,2026-03-20,星期五,濟公,,2,2,二月初二,佛辰,聖誕,false,
2027,2027-03-09,星期二,濟公,,2,2,二月初二,佛辰,聖誕,false,
2028,2028-02-26,星期六,濟公,,2,2,二月初二,佛辰,聖誕,false,
